Provincia;Anio;Especie;Casos
Azuay;2022;B500-B509;0
Tungurahua;2022;B519;0
Tungurahua;2022;B500;0
Tungurahua;2022;B500-B509;0
Galapagos;2022;B519;0
Galapagos;2022;B500;1
Galapagos;2022;B500-B509;0
Chimborazo;2022;B519;0
Chimborazo;2022;B500;0
Chimborazo;2022;B500-B509;0
Zamora Chinchipe;2022;B519;0
Zamora Chinchipe;2022;B500;0
Zamora Chinchipe;2022;B500-B509;0
Loja;2022;B519;0
Loja;2022;B500;0
Loja;2022;B500-B509;0
Cañar;2022;B519;0
Cañar;2022;B500;0
Cañar;2022;B500-B509;0
Zona No delimitada;2022;B519;0
Zona No delimitada;2022;B500;0
Zona No delimitada;2022;B500-B509;0
Morona Santiago;2023;B519;170
Morona Santiago;2023;B500;6
Morona Santiago;2023;B500-B509;0
Orellana;2023;B519;234
Orellana;2023;B500;2
Orellana;2023;B500-B509;0
Cotopaxi;2023;B519;0
Cotopaxi;2023;B500;0
Cotopaxi;2023;B500-B509;0
Pastaza;2023;B519;177
Pastaza;2023;B500;3
Pastaza;2023;B500-B509;0
Esmeraldas;2023;B519;12
Esmeraldas;2023;B500;22
Esmeraldas;2023;B500-B509;0
Sucumbios;2023;B519;13
Sucumbios;2023;B500;1
Sucumbios;2023;B500-B509;0
El Oro;2023;B519;2
El Oro;2023;B500;0
El Oro;2023;B500-B509;1
Santa Elena;2023;B519;1
Santa Elena;2023;B500;0
Santa Elena;2023;B500-B509;0
Manabí;2023;B519;2
Manabí;2023;B500;2
Manabí;2023;B500-B509;0
Guayas;2023;B519;6
Guayas;2023;B500;1
Guayas;2023;B500-B509;0
Los Rios;2023;B519;1
Los Rios;2023;B500;0
Los Rios;2023;B500-B509;0
Napo;2023;B519;2
Napo;2023;B500;0
Napo;2023;B500-B509;0
Santo Domingo de los Tsachilas;2023;B519;1
Santo Domingo de los Tsachilas;2023;B500;0
Santo Domingo de los Tsachilas;2023;B500-B509;0
Bolívar;2023;B519;3
Bolívar;2023;B500;0
Bolívar;2023;B500-B509;0
Carchi;2023;B519;6
Carchi;2023;B500;0
Carchi;2023;B500-B509;0
Imbabura;2023;B519;2
Imbabura;2023;B500;0
Imbabura;2023;B500-B509;0
Pichincha;2023;B519;9
Pichincha;2023;B500;1
Pichincha;2023;B500-B509;0
Azuay;2023;B519;0
Azuay;2023;B500;2
Azuay;2023;B500-B509;0
Tungurahua;2023;B519;0
Tungurahua;2023;B500;1
Tungurahua;2023;B500-B509;0
Galapagos;2023;B519;0
Galapagos;2023;B500;0
Galapagos;2023;B500-B509;0
Chimborazo;2023;B519;1
Chimborazo;2023;B500;0
Chimborazo;2023;B500-B509;1
Zamora Chinchipe;2023;B519;0
Zamora Chinchipe;2023;B500;0
Zamora Chinchipe;2023;B500-B509;0
Loja;2023;B519;0
Loja;2023;B500;0
Loja;2023;B500-B509;0
Cañar;2023;B519;0
Cañar;2023;B500;0
Cañar;2023;B500-B509;0
Zona No delimitada;2023;B519;5
Zona No delimitada;2023;B500;0
Zona No delimitada;2023;B500-B509;0
Morona Santiago;2024;B519;111
Morona Santiago;2024;B500;1
Morona Santiago;2024;B500-B509;1
Orellana;2024;B519;50
Orellana;2024;B500;1
Orellana;2024;B500-B509;0
Cotopaxi;2024;B519;1
Cotopaxi;2024;B500;0
Cotopaxi;2024;B500-B509;0
Pastaza;2024;B519;111
Pastaza;2024;B500;3
Pastaza;2024;B500-B509;0
Esmeraldas;2024;B519;8
Esmeraldas;2024;B500;100
Esmeraldas;2024;B500-B509;0
Sucumbios;2024;B519;9
Sucumbios;2024;B500;2
Sucumbios;2024;B500-B509;0
El Oro;2024;B519;4
El Oro;2024;B500;0
El Oro;2024;B500-B509;0
Santa Elena;2024;B519;0
Santa Elena;2024;B500;1
Santa Elena;2024;B500-B509;0
Manabí;2024;B519;1
Manabí;2024;B500;0
Manabí;2024;B500-B509;0
Guayas;2024;B519;5
Guayas;2024;B500;5
Guayas;2024;B500-B509;0
Los Rios;2024;B519;1
Los Rios;2024;B500;1
Los Rios;2024;B500-B509;0
Napo;2024;B519;0
Napo;2024;B500;0
Napo;2024;B500-B509;0
Santo Domingo de los Tsachilas;2024;B519;0
Santo Domingo de los Tsachilas;2024;B500;0
Santo Domingo de los Tsachilas;2024;B500-B509;1
Bolívar;2024;B519;0
Bolívar;2024;B500;1
Bolívar;2024;B500-B509;0
Carchi;2024;B519;0
Carchi;2024;B500;1
Carchi;2024;B500-B509;0
Imbabura;2024;B519;1
Imbabura;2024;B500;2
Imbabura;2024;B500-B509;0
Pichincha;2024;B519;1
Pichincha;2024;B500;3
Pichincha;2024;B500-B509;0
Azuay;2024;B519;0
Azuay;2024;B500;0
Azuay;2024;B500-B509;0
Tungurahua;2024;B519;3
Tungurahua;2024;B500;1
Tungurahua;2024;B500-B509;1
Galapagos;2024;B519;0
Galapagos;2024;B500;0
Galapagos;2024;B500-B509;0
Chimborazo;2024;B519;0
Chimborazo;2024;B500;0
Chimborazo;2024;B500-B509;0
Zamora Chinchipe;2024;B519;2
Zamora Chinchipe;2024;B500;1
Zamora Chinchipe;2024;B500-B509;0
Loja;2024;B519;0
Loja;2024;B500;0
Loja;2024;B500-B509;1
Cañar;2024;B519;1
Cañar;2024;B500;0
Cañar;2024;B500-B509;0
